52.80;18.30;17.56;2003
52.60;18.30;17.56;4008
52.60;18.30;17.56;6013
52.70;18.30;17.56;8018
52.70;18.30;17.56;10023
52.50;18.30;17.56;12027
52.30;18.30;17.55;14032
52.30;18.30;17.55;16037
52.30;18.20;17.44;18042
52.00;18.30;17.54;20047
51.80;18.30;17.54;22052
51.80;18.20;17.43;24057
52.10;18.30;17.55;26061
52.30;18.30;17.55;28066
52.30;18.30;17.55;30071
52.40;18.30;17.55;32077
52.50;18.30;17.56;34082
52.40;18.30;17.55;36087
52.60;18.30;17.56;38092
52.70;18.30;17.56;40096
52.70;18.30;17.56;42101
52.60;18.30;17.56;44106
52.70;18.30;17.56;46111
52.80;18.30;17.56;48116
52.90;18.30;17.57;50121
52.90;18.30;17.57;52126
53.10;18.30;17.57;54131
53.70;18.30;17.59;56135
54.80;18.30;17.62;58140
55.60;18.30;17.64;60145
56.10;18.30;17.65;62150
56.30;18.30;17.66;64155
56.50;18.30;17.66;66160
56.80;18.30;17.67;68165
57.10;18.30;17.68;70170
57.40;18.30;17.68;72175
57.70;18.30;17.69;74180
57.80;18.30;17.69;76185
58.00;18.30;17.70;78190
58.20;18.30;17.71;80195
58.40;18.30;17.71;82200
58.40;18.30;17.71;84205
58.50;18.30;17.71;86209
58.60;18.30;17.72;88214
58.60;18.30;17.72;90219
58.60;18.30;17.72;92225
58.50;18.30;17.71;94230
58.40;18.30;17.71;96234
58.40;18.30;17.71;98239
58.40;18.30;17.71;100244
58.30;18.30;17.71;102248
58.40;18.30;17.71;104253
58.40;18.30;17.71;106258
58.50;18.30;17.71;108264
58.50;18.30;17.71;110269
